id,timeStamp,baseCurrency,foreignCurrency,open,close,high,low,volume,baseCurrencyNetSentiment,foreignCurrencyNetSentiment,actualMomentum,machinePredictedMomentum
215,"10/25/2018 22:00:00",USD,CHF,0.99978,0.99961,0.9998,0.99926,869,Neutral,Neutral,P,P
216,"10/25/2018 23:00:00",USD,CHF,0.99961,0.99974,1.00011,0.99943,2808,Neutral,Neutral,P,P
217,"10/26/2018 00:00:00",USD,CHF,0.99973,1.00063,1.00064,0.99918,3222,Neutral,Neutral,P,P
218,"10/26/2018 01:00:00",USD,CHF,1.00064,1.0003,1.00075,0.99997,2674,Neutral,Neutral,P,P
219,"10/26/2018 02:00:00",USD,CHF,1.00028,0.99978,1.0006,0.99977,2604,Neutral,Neutral,P,P
220,"10/26/2018 03:00:00",USD,CHF,0.99978,0.99989,1.00069,0.99969,4390,Neutral,Neutral,P,P
221,"10/26/2018 04:00:00",USD,CHF,0.99989,1,1.00045,0.99985,3151,Neutral,Neutral,P,P
222,"10/26/2018 05:00:00",USD,CHF,1.00002,1.00012,1.00056,0.99977,3881,Neutral,Neutral,P,P
223,"10/26/2018 06:00:00",USD,CHF,1.00012,0.99954,1.0003,0.99928,4240,Neutral,Neutral,P,P
224,"10/26/2018 07:00:00",USD,CHF,0.99955,0.99941,0.99982,0.99831,5352,Neutral,Neutral,P,P
225,"10/26/2018 08:00:00",USD,CHF,0.99943,1.00025,1.00051,0.99934,4295,Neutral,Neutral,P,P
226,"10/26/2018 09:00:00",USD,CHF,1.00024,1.00077,1.00116,0.99993,4783,Neutral,Neutral,P,P
227,"10/26/2018 10:00:00",USD,CHF,1.00077,1.0008,1.00103,1.0002,4272,Neutral,Neutral,P,P
228,"10/26/2018 11:00:00",USD,CHF,1.00081,1.00231,1.00241,1.0006,4679,Neutral,Neutral,P,P
