timeStamp,baseCurrency,foreignCurrency,Open,High,Low,Close,Volume,baseCurrencyNetSentiment,foreignCurrencyNetSentiment,actualMomentum,machinePredictedMomentum
7/29/2019 22:00,USD,CHF,0.99157,0.99175,0.99145,0.99153,492.0299995,P,P,P,P
7/29/2019 23:00,USD,CHF,0.99158,0.99186,0.99157,0.9917,634.859996,P,P,P,P
7/30/2019 0:00,USD,CHF,0.9917,0.99192,0.99159,0.99162,996.8599949,P,P,P,P
7/30/2019 1:00,USD,CHF,0.99162,0.99219,0.99148,0.99165,2116.969991,P,P,P,P
7/30/2019 2:00,USD,CHF,0.99167,0.99167,0.99085,0.99098,1768.669989,P,P,P,P
7/30/2019 3:00,USD,CHF,0.99099,0.99144,0.99093,0.99121,1590.519996,P,P,P,P
7/30/2019 4:00,USD,CHF,0.99122,0.99175,0.99122,0.99159,1625.259997,P,P,P,P
7/30/2019 5:00,USD,CHF,0.99159,0.99209,0.99138,0.99209,1587.030004,P,P,P,P
7/30/2019 6:00,USD,CHF,0.99209,0.99218,0.9915,0.9917,4815.059979,P,P,P,P
7/30/2019 7:00,USD,CHF,0.99171,0.99173,0.99041,0.99075,6512.699987,P,P,P,P
7/30/2019 8:00,USD,CHF,0.99074,0.99121,0.99017,0.99042,4874.499987,P,P,P,P
7/30/2019 9:00,USD,CHF,0.99042,0.9909,0.99022,0.99064,4635.029995,P,P,P,P
7/30/2019 10:00,USD,CHF,0.99066,0.99072,0.9899,0.99008,4659.739982,P,P,P,P
7/30/2019 11:00,USD,CHF,0.99008,0.99017,0.98941,0.98978,5164.739987,P,P,P,P
7/30/2019 12:00,USD,CHF,0.98978,0.99044,0.98904,0.98943,8832.13996,P,P,P,P
7/30/2019 13:00,USD,CHF,0.98942,0.99126,0.98939,0.99085,8456.249966,P,P,P,P
7/30/2019 14:00,USD,CHF,0.99085,0.99171,0.99061,0.99133,8679.709952,P,P,P,P
7/30/2019 15:00,USD,CHF,0.99132,0.9914,0.99037,0.99068,5885.609973,P,P,P,P
7/30/2019 16:00,USD,CHF,0.99068,0.99109,0.99029,0.99058,3778.259974,P,P,P,P
7/30/2019 17:00,USD,CHF,0.99059,0.99072,0.9901,0.99043,2760.709981,P,P,P,P
7/30/2019 18:00,USD,CHF,0.99043,0.99045,0.98983,0.99021,3351.789978,P,P,P,P
7/30/2019 19:00,USD,CHF,0.99021,0.99036,0.98992,0.99006,2354.20999,P,P,P,P
7/30/2019 20:00,USD,CHF,0.99007,0.99037,0.99005,0.99005,780.5999964,P,P,P,P
7/30/2019 21:00,USD,CHF,0.99005,0.99052,0.98955,0.99008,2031.490016,P,P,P,P
7/30/2019 22:00,USD,CHF,0.99015,0.9902,0.98996,0.99001,431.9799993,P,P,P,P
7/30/2019 23:00,USD,CHF,0.99002,0.99006,0.98991,0.98995,307.7799989,P,P,P,P
7/31/2019 0:00,USD,CHF,0.98994,0.99011,0.9895,0.99011,1299.879991,P,P,P,P
7/31/2019 1:00,USD,CHF,0.99011,0.99054,0.99011,0.99038,1324.78,P,P,P,P
7/31/2019 2:00,USD,CHF,0.99039,0.9905,0.99025,0.99029,1031.47,P,P,P,P
7/31/2019 3:00,USD,CHF,0.9903,0.99109,0.99024,0.99092,1703.639999,P,P,P,P
7/31/2019 4:00,USD,CHF,0.99091,0.99111,0.99062,0.99107,1582.920006,P,P,P,P
7/31/2019 5:00,USD,CHF,0.99107,0.99132,0.99107,0.99118,3540.240004,P,P,P,P
7/31/2019 6:00,USD,CHF,0.99119,0.99124,0.98982,0.99033,6752.240003,P,P,P,P
7/31/2019 7:00,USD,CHF,0.99033,0.99083,0.98982,0.99038,5149.699998,P,P,P,P
7/31/2019 8:00,USD,CHF,0.99038,0.99083,0.99029,0.99067,4657.419986,P,P,P,P
